CNPJ BÁSICO,Nome Municip.,Nome Cnae,DDD 1,TELEFONE 1,DDD 2,TELEFONE 2,CAPITAL SOCIAL,PORTE DA EMPRESA,result
46464844,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,99174252.0,,,"5000,00",1.0,
46530229,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,91039697.0,,,"10000,00",1.0,
46603045,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,30834525.0,32.0,30252195.0,"80000,00",1.0,
46630766,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,91109295.0,,,"5000,00",1.0,
46513256,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32132000.0,,,"20000,00",1.0,
46687582,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32325058.0,,,"2000000,00",5.0,
46737745,JUIZ DE FORA,OBRAS DE ALVENARIA,24.0,92335750.0,,,"50000,00",1.0,
46782541,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,91532177.0,,,"1000,00",1.0,
46827831,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91102701.0,,,"1000,00",1.0,
46842132,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32115587.0,,,"5000,00",1.0,
46860637,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88193519.0,,,"1000,00",1.0,
46877848,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91083859.0,,,"1000,00",1.0,
46973268,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32138952.0,,,"1000,00",1.0,
46977988,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32178834.0,,,"10000,00",1.0,
47020238,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32222222.0,,,"1000,00",1.0,
47026290,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91993583.0,,,"2000,00",1.0,
47034727,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32222222.0,,,"1000,00",1.0,
47070943,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32222222.0,,,"1000,00",1.0,
47126196,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,87093317.0,,,"10000,00",1.0,
47156367,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32330257.0,,,"1000,00",1.0,
47210667,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,98811867.0,,,"2000,00",1.0,
47225261,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91109683.0,,,"2000,00",1.0,
47434216,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,99110181.0,,,"1000,00",1.0,
47452304,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,99356092.0,,,"2000,00",1.0,
47537538,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32153071.0,,,"1000,00",1.0,
47576280,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88315637.0,,,"1000,00",1.0,
47579814,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88236639.0,,,"3000,00",1.0,
47701637,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91750823.0,,,"1000,00",1.0,
47762975,JUIZ DE FORA,OBRAS DE ALVENARIA,21.0,66226993.0,,,"5000,00",1.0,
47781574,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,98877381.0,,,"100,00",1.0,
47898620,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,84936266.0,,,"1000,00",1.0,
47978304,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,91255183.0,,,"2000,00",1.0,
47984206,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88074899.0,,,"1500,00",1.0,
48002860,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,30835079.0,,,"120000,00",5.0,
48014312,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,98181641.0,,,"3000,00",1.0,
48034392,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,84138812.0,,,"1000,00",1.0,
48086547,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,99570982.0,,,"1000,00",1.0,
48118221,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32150698.0,,,"100,00",1.0,
48178504,JUIZ DE FORA,OBRAS DE ALVENARIA,89.0,98112303.0,,,"500,00",1.0,
48282711,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,35128240.0,,,"3000,00",1.0,
48290215,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,98841377.0,,,"3000,00",1.0,
48300497,JUIZ DE FORA,OBRAS DE ALVENARIA,89.0,81123035.0,,,"500,00",1.0,
48313211,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,98212102.0,,,"5000,00",1.0,
48363939,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,99098805.0,,,"5000,00",1.0,
48560687,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91999175.0,,,"5000,00",1.0,
48646555,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91827117.0,,,"5000,00",1.0,
48820704,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32251000.0,32.0,,"10000,00",1.0,
48874702,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,98206216.0,,,"1,00",1.0,
48915757,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,84734004.0,,,"10000,00",3.0,
48942925,JUIZ DE FORA,OBRAS DE ALVENARIA,89.0,81123035.0,,,"500,00",1.0,
48943877,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,87034128.0,,,"5000,00",1.0,
49020073,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88561449.0,,,"3000,00",1.0,
49022275,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,98210340.0,,,"5000,00",1.0,
49031828,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32235184.0,,,"4000,00",1.0,
49042422,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91048533.0,,,"1000,00",1.0,
49069261,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,91558014.0,,,"1000,00",1.0,
49143239,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88048209.0,,,"1000,00",1.0,
49173306,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,84651618.0,,,"1000,00",1.0,
49174230,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32115587.0,,,"5000,00",1.0,
49191565,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91963971.0,,,"2000,00",1.0,
49226175,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88441259.0,,,"100,00",1.0,
49244024,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88099995.0,,,"1,00",1.0,
49336946,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,84256180.0,,,"500,00",1.0,
49440732,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88367365.0,,,"5000,00",1.0,
49471703,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88213573.0,,,"1000,00",1.0,
45185924,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,99738099.0,,,"1000,00",1.0,
49623147,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,91762289.0,,,"100000,00",3.0,
49625109,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,99974128.0,,,"2500,00",1.0,
49656868,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,84323662.0,,,"1200,00",1.0,
49680839,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,99136395.0,,,"600,00",1.0,
49744141,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88298047.0,,,"1,00",1.0,
49752311,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,99727111.0,,,"1500,00",1.0,
49773122,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88697216.0,,,"500,00",1.0,
49850005,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91757137.0,,,"5000,00",1.0,
50002798,JUIZ DE FORA,OBRAS DE ALVENARIA,38.0,98558609.0,,,"1000,00",1.0,
50088034,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,30250102.0,,,"2000,00",1.0,
50185746,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,88813223.0,,,"666667,00",5.0,
50225169,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,99518014.0,,,"1500,00",1.0,
50229338,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,84372986.0,,,"3000,00",1.0,
50269204,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,91329864.0,,,"1000,00",1.0,
50317609,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,35126561.0,,,"5000,00",1.0,
50347971,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,99126821.0,,,"10000,00",1.0,
50350905,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,98416437.0,,,"2000,00",1.0,
50351938,JUIZ DE FORA,OBRAS DE ALVENARIA,24.0,20505054.0,,,"2400,00",1.0,
50356142,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88593023.0,,,"100,00",1.0,
50429974,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91989681.0,,,"1000,00",1.0,
28855905,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32131165.0,,,,,
28855905,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21022330.0,,,,,
28855905,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21022330.0,,,,,
28855905,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32131165.0,,,,,
28855905,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32131165.0,,,,,
28855905,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,33131727.0,,,,,
50492286,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,84980356.0,,,"1000,00",1.0,
50511174,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91059391.0,,,"2000,00",1.0,
50634428,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32414520.0,,,"100000,00",1.0,
50636253,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,99398999.0,,,"10000,00",1.0,
50721416,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91070954.0,,,"1500,00",1.0,
50867687,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91649056.0,,,"40000,00",1.0,
50997271,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32170196.0,,,"500,00",1.0,
51060160,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,98484305.0,,,,,
51066115,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88298550.0,,,,,
51234913,JUIZ DE FORA,OBRAS DE ALVENARIA,23.0,88642367.0,,,,,
51264420,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,84437523.0,,,,,
51267035,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,,,
51268812,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88321078.0,,,,,
51271028,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,98844647.0,,,,,
51320335,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32,91443504,,,,,
5159530,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,,,,,"0,00",1.0,
2241292,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"0,00",1.0,
3979773,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,30267928,32.0,87050000,"100000,00",1.0,
2304619,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,99883005,,,"75000,00",1.0,
16955247,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"3760500,00",5.0,
16955247,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,34.0,32276505,34.0,32363203.0,"3760500,00",5.0,
16955247,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,2156167,,,"3760500,00",5.0,
16955247,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"3760500,00",5.0,
16955247,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"3760500,00",5.0,
16955247,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,62.0,4412550,,,"3760500,00",5.0,
17972407,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,30312437,,,"100000,00",5.0,
1300344,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32171228,,,"110000,00",1.0,
4919186,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"0,00",1.0,
23154420,JUIZ DE FORA,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,32.0,32153438,,,"600000,00",5.0,
23154420,JUIZ DE FORA,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,32.0,32153438,,,"600000,00",5.0,
7230468,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,,,,,"0,00",3.0,
42827469,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"0,00",5.0,
26168401,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32153985,,,"1000,00",1.0,
86619137,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32157378.0,,,"1200000,00",5.0,
71257612,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32150517,,,"600000,00",5.0,
71380968,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32134692,,,"10000,00",1.0,
7317049,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,21010675,,,"400000,00",3.0,
7766662,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32244473,,,"2000,00",1.0,
8084225,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,21010675,,,"5000,00",1.0,
26037721,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32162866,,,"100000,00",1.0,
1834551,JUIZ DE FORA,GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA,32.0,32141505,,,"3529200,00",5.0,
5145010,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,,,,,"0,00",1.0,
7890808,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32154177,,,"8140850,00",5.0,
26124198,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"5000,00",1.0,
86507605,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"0,00",1.0,
5585739,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32393515,32.0,88894912,"10000,00",3.0,
7157999,JUIZ DE FORA,GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA,32.0,32412714,,,"1217000,00",3.0,
2490826,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,33130517,32.0,33130505.0,"320000,00",1.0,
20223460,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88376671,,,"1000,00",1.0,
8459243,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32163113,,,"235342,00",1.0,
9166813,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,40095093,,,"78800,00",1.0,
20231812,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,98053382,,,"1000,00",1.0,
10921801,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32155962,,,"54000,00",1.0,
11251118,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32312619.0,,,"163000,00",1.0,
20299920,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88336450.0,,,"10000,00",1.0,
11450411,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32162606.0,,,"8000,00",1.0,
12361444,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32171128.0,,,"160000,00",1.0,
12726708,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32221638.0,,,"1,00",1.0,
12943298,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32363600,,,"30000,00",1.0,
12961390,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,99735607,,,"1,00",1.0,
13082057,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,91088530,,,"1,00",1.0,
13380821,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,91143798.0,,,"1,00",1.0,
10931910,JUIZ DE FORA,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,32.0,32325903.0,32.0,88002814.0,"10000,00",1.0,
13944649,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88735241.0,,,"1,00",1.0,
14170248,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32164340.0,,,"20000,00",1.0,
14355850,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32170508.0,32.0,30847474.0,"250000,00",5.0,
14366353,JUIZ DE FORA,GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA,32.0,99224725.0,32.0,88764725.0,"30000,00",1.0,
14632124,JUIZ DE FORA,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,32.0,88840251.0,,,"1,00",1.0,
14858554,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32125109.0,,,"5000,00",1.0,
15041980,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32372584.0,,,"1,00",1.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,32.0,30179554.0,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
11672486,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32262824.0,,,"1,00",1.0,
13073829,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32226097,,,"1,00",1.0,
14933605,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88167506,,,"1,00",1.0,
15547042,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32135108,,,"1,00",1.0,
15613601,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32329736,,,"1,00",1.0,
10226056,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32134278,32.0,88272405.0,"1500000,00",5.0,
10822775,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32177617,32.0,32129832,"75000,00",3.0,
16818969,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,99088634,,,"10000,00",1.0,
16827066,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88485375,,,"1,00",1.0,
16845978,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32134692,,,"100000,00",1.0,
16923615,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32127695,,,"179207,00",5.0,
16944486,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32243917,,,"1,00",1.0,
17186309,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88925284,,,"1,00",1.0,
17494157,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32237719.0,,,"2000,00",1.0,
17502244,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88282343.0,,,"1000,00",1.0,
15490237,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,31.0,36147416.0,31.0,36147457.0,"10000,00",5.0,
15490237,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,31.0,36146983.0,31.0,36146985.0,"10000,00",5.0,
17636347,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,99917356.0,,,"4000,00",1.0,
